method,best_energy,best_merit,time_s,throughput,pop_mean_energy
Random Search,74,2.702703,0.001,8983.30,144.40
Classical MTS,26,7.692308,1.650,605.96,44.44
QE-MTS (Image H),26,7.692308,33.800,29.59,80.44
QE-MTS (LABS H),26,7.692308,4.103,243.74,45.28
QE-MTS (LABS OPT H),26,7.692308,31.920,31.33,44.28
