method,best_energy,best_merit,time_s,throughput,pop_mean_energy
Random Search,54,3.703704,0.009,10824.29,179.28
Classical MTS,34,5.882353,0.122,164.29,135.47
QE-MTS (Image H),34,5.882353,0.928,21.55,125.60
QE-MTS (LABS H),26,7.692308,0.813,24.61,147.87
