method,best_energy,best_merit,time_s,throughput,pop_mean_energy
Random Search,171,2.631579,0.053,7565.65,430.22
Classical MTS,75,6.000000,0.136,146.73,247.80
QE-MTS (Image H),83,5.421687,68.734,0.29,244.60
QE-MTS (LABS H),83,5.421687,125.366,0.16,264.60
